EstablecimientoCodigo;EstablecimientoGlosa;EstablecimientoCodigoAntiguo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion
133552;Posta de Salud Rural Chaulinec La Villa;33-552;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10210;Quinchao;Calle;;Sector la Villa, Isla Chaulinec;;;NO;No Aplica;No Aplica;-42.626615;-73.296979;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133345;Centro de Salud Familiar Chonchi;33-345;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;10203;Chonchi;Calle;;Chonchi;652671643;;NO;No Aplica;No Aplica;-42.62453;-73.7675;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200733;SUR Chonchi;33-912;33-345;133345.0;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Chonchi;;;SI;Urgencia Ambulatoria (SUR);No Aplica;-42.622752;-73.777951;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133483;Posta de Salud Rural Petanes Bajos;33-483;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Sector Petantes Bajos;967621306;;NO;No Aplica;No Aplica;-42.622737;-73.918767;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133476;Posta de Salud Rural Ichuac;33-476;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10206;Puqueldón;Calle;;Caserío de Ichuac;;;NO;No Aplica;No Aplica;-42.61617;-73.71893;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133469;Posta de Salud Rural Quehui;33-469;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10201;Castro;Calle;;Sector Quehui;975591391;;NO;No Aplica;No Aplica;-42.61354;-73.49468;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133482;Posta de Salud Rural Chanquín;33-482;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Sector Chanquín;967620254;;NO;No Aplica;No Aplica;-42.60277;-74.120282;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133510;Posta de Salud Rural Isla Alao;33-510;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10210;Quinchao;Calle;;Sector Isla Alao;;;NO;No Aplica;No Aplica;-42.60089;-73.29903;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200735;SUR Puqueldón;33-914;33-355;133355.0;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Urgencia Rural (SUR);Establecimiento de Salud;No Aplica;Municipal;Primario;10206;Puqueldón;Calle;;Puqueldón;;;SI;Urgencia Ambulatoria (SUR);No Aplica;-42.598831;-73.676567;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133355;Centro de Salud Familiar Puqueldón;33-355;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;10206;Puqueldón;Calle;;Puqueldón;652250193;;NO;No Aplica;No Aplica;-42.5988;-73.6765;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
